AIC112,B788,DET
BAW245,B789,CPT
BAW109,A388,DET
THA917,B77W,DET
BAW15,B77W,DET
AVA121,B788,GOGSI
CCA580,A359,BPK
AHY008,B788,BPK
GFA006,B789,DET
UAE6,A388,DET
VIR453,B789,DET
MEA204,A21N,DET
SIA321,A359,DET
CPA254,A35K,DET
BAW59,B772,MAXIT
AEE609,A20N,DET
BAW251,B789,GOGSI
ELY318,B789,DET
BAW83,B772,MAXIT
VIR449,B789,MAXIT
VIR378,B789,DET
VIR411Y,A35K,MAXIT
MSR780,A20N,DET
AMX008,B788,UMLAT
THY9WX,A21N,DET
SIA7393,B744,DET
BCS6756,A306,DET
